id,text,T1 Target,T1 Argument,T1 Harmful,T2 Target,T2 Argument,T2 Harmful,T3 Target,T3 Argument,T3 Harmful,T4 Target,T4 Argument,T4 Harmful,T5 Target,T5 Argument,T5 Harmful,T6 Target,T6 Argument,T6 Harmful,,,
1158315949990252544,@USER Love it keep up the good work sunshine big or small fuck em all,@USER,fuck em all,NO,,,,,,,,,,,,,,,,,,
1161787110359273472,Lmaooo y’all got other women telling y’all that claim sounds stupid and you focused on m,y'all,sounds stupid,YES,,,,,,,,,,,,,,,,,,
1161808970727743488,@USER I feel that sis. They needa begin deactivating these niggas who aren’t active ,niggas,niggas,YES,niggas,deactivating,YES,,,,,,,,,,,,,,,
1186683819274801152,"all ""rivalry's"" and shit talking aside im so happy i get to watch the NBA again🙏🏾",NULL,shit talking,NO,,,,,,,,,,,,,,,,,,
1187391554757038081,Black musicians think they have to say a bunch of pro homo shit to advance their career. It's sad they just can't focus on making good music,Black musicians,homo shit,YES,Black musicians,sad,YES,,,,,,,,,,,,,,,
1155244556763455488,The Left: not caring about black communities is racist. Also the Left: caring about black communities is racist.,The Left,racist,YES,The Left,racist,YES,,,,,,,,,,,,,,,
1157449058258161664,Racists never think they’re racist. They think they’re normal but that doesn’t mean they’re not,Racists,racist,YES,Racists,racist,YES,,,,,,,,,,,,,,,
1186697308278120448,@USER So they reelected the black face racist? Sad,@USER,black face racist,YES,@USER,sad,YES,,,,,,,,,,,,,,,
1156721263483805696,@USER They’re only complaining about the racist white peopl,@USER,racist white people,YES,,,,,,,,,,,,,,,,,,
1160875843272548352,"People who believe in ghosts are boring normies who think they’re interesting, the worst kind of boring normi",People,boring normies,YES,People,worst kind,YES,,,,,,,,,,,,,,,
1160950844113788938,@USER Trump and his white trash. Incapable of creating anything so they destroy everything.,Trump and his white trash,white trash,YES,Trump and his white trash,incapable,YES,Trump and his white trash,destroy everything,YES,,,,,,,,,,,,
1162274497363189760,"Just a reminder, we all want money. Don't even think otherwise, that shit is important and everyday we wake up in search of it.",NULL,shit is important,NO,,,,,,,,,,,,,,,,,,
1156794588402737153,It's so sad watching you destroy the educational system of this country. . . because of your racist jealous greed. . .,You,destroy,YES,You,racist jealous greed,YES,,,,,,,,,,,,,,,
1158123781937860611,@USER Niggas shot son and his shawty but that’s black on black cri,Niggas,Niggas,YES,Niggas,shot,YES,,,,,,,,,,,,,,,
1161644678929772544,Wait why the shit did Twitter make me unfollow a bunch of people I was mutuals with,NULL,shit,NO,Twitter,shit,NO,,,,,,,,,,,,,,,
1156764556720582656,I bet when they argue he calls him a white supremacist and a racist as well!! LolDon Lemon thinks every white man is racist except his husband,him,white supremacist,YES,him,racist jealous greed,yes,Don Lemon,racist,YES,,,,,,,,,,,,
1161456410485547010,Ignorant people are the worst kind of people. Why would you wanna live your life pretending there’s no issue,Ignorant people,worst kind,YES,,,,,,,,,,,,,,,,,,
1159791452236505089,@USER @USER There's a whole lotta WHITE people there Joey......Aren't you afraid you'll be call a racist? -,@USER,WHITE,YES,Joey,racist?,YES,,,,,,,,,,,,,,,
1162083816510353409,Women say all men do is hate and lie. Look at these hoes 🤣🤣🤣🤣Girls No more multiple chances not even a second chance LEAVE THAT NIGGA he know wtf he doin,all men,hate,YES,all men,lie,YES,NIGGA,NIGGA,YES,NIGGA,wtf,YES,,,,,,,,,
1187303250938212352,@USER They're gonna piss dookerberg so much that he's gonna turn on them in 2020.,They're,gonna piss,YES,,,,,,,,,,,,,,,,,,
1188532677563031552,Women call me ugly until they find out how much money I make. Then they call me ugly and poor.,Women,call me ugly,YES,Women,find out how much money,YES,Women,ugly,YES,Women,poor,YES,,,,,,,,,
1161331636233019398,And they’re all going to hell in a deplorable hand-baske,they're,going to hell,YES,,,,,,,,,,,,,,,,,,
1158677637834989568,@USER please get rid of these pathetic paper straws feels like I'm suckling my insides out drinking this Strawberry Milkshake �,@USER,pathetic paper straws,NO,@USER,suckling my insides out,NO,,,,,,,,,,,,,,,
1160373721862815751,@USER Watch all the crazy liberals come in like I’m never eating at those place again...fast food chains are so raci,crazy liberals,crazy,YES,fast food chains,racist,YES,,,,,,,,,,,,,,,
1186888048245530624,@USER Proving once again that ignorance and hate know no limits. Shame they are both found within our clown of a president.,@USER,ignorance,YES,@USER,hate,YES,they,clown of a president,YES,,,,,,,,,,,,
1186908156087148544,K* really putting ATINYs through some shit on the one year anni like wtf are they thinking?! I'm so madchecking list for mcountdown at 4pm and opening moon river merch at 4pm really k*,they,some shit,YES,they,wtf are they thinking?!,YES,,,,,,,,,,,,,,,
1159814631755591680,@USER Maaaaan he would’ve got laid out all them females working and only one tried to really help smh men really ain’t shit,men,ain't shit,YES,,,,,,,,,,,,,,,,,,
1159215670489489409,@USER i was literally just talking about this yesterday it's some srs bullshit,@USER,srs bullshit,NO,,,,,,,,,,,,,,,,,,
1159582843300974592,Imagine wanting attention so badly that you go on ed twt to trigger a bunch of people who are sick,people,trigger,YES,,,,,,,,,,,,,,,,,,
1158103236584386565,@USER @USER You should probably just shut up!! We are sick of hearing from some useless Hollywood has been!!,@USER,shut up!!,YES,@USER,some useless Hollywood has been,YES,,,,,,,,,,,,,,,
1159841485421813765,Lmao sticks &amp; stones fellas 😂😂😂Females tell a nigga EAD n his face then call police wen they get hit I'll never understand th,Females,nigga EAD,YES,nigga,nigga,YES,,,,,,,,,,,,,,,
1159981642850557952,@USER Bro literally everyone can't fucking appreciate what Epic Games tried to make for them.,@USER,fucking,YES,,,,,,,,,,,,,,,,,,
1186403963563925506,@USER @USER It's shows he could be doing these fake accounts in other places a sick thing to do.,@USER,sick thing to do,YES,,,,,,,,,,,,,,,,,,
1186835868360826881,@USER I’m so sick of these rich idiots! How about all y’all NBA player ‘prostitutes’ go ahead and MOVE TO CH,@USER,rich idiots,YES,NBA player,prostitutes,YES,NBA player,MOVE TO CHINA?! �,YES,,,,,,,,,,,,
1161300046635241474,"@USER Shit like this violation of our Constitutional rights are promoted by the same people who profit from ""drug testing""",@USER,violation of our Constitutional rights,YES,people,"proft from ""drug testing""",YES,,,,,,,,,,,,,,,
1160971909464559618,how does someone like me who cares about every single one of my god damn followers get the most hate,followers,most hate,YES,,,,,,,,,,,,,,,,,,
1186496205603385344,how the FUCK is the bloc quebecois party allowed to run federally when theyre only there for quebec HOW,bloc quebecois party,FUCK,YES,,,,,,,,,,,,,,,,,,
1186336652542824448,Some girls are soooo weird 😂😂🤣 you all really have nothing better to do with ur pathetic,girls,soooo weird,YES,girls,pathetic lives,YES,,,,,,,,,,,,,,,
1160270327341035525,@USER Grrrrrr what the hell is wrong with people?,@USER,what the hell is wrong with people,YES,,,,,,,,,,,,,,,,,,
1159211631462748161,"bxtch i thought u talked about super group thingThis is disgusting, outrageous, ridiculous and unnecessary",bxtch,bxtch,YES,bxtch,"disgusting, outrageous, ridiculous",YES,,,,,,,,,,,,,,,
1186695575766482944,@USER damn white people got lynched also. democrats lynched the blacks you forget. your granddaddy was involved,@USER,white people got lynched,YES,democrats,lynched the blacks,YES,@USER,your granddaddy was involved,YES,,,,,,,,,,,,
1162086130726133760,I have the most racist friends towards black people and they’re so called black 🤣🤣,racist friends,racist friends,YES,,,,,,,,,,,,,,,,,,
1159262336257011714,niggas gone stop making these lists and not putting koncept jackson on em ik that much,niggas,niggas,YES,,,,,,,,,,,,,,,,,,
